"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"A3H7LR33","conferencePaper","2016","Rubeaux, Mathieu; Joshi, Nikhil; Dweck, Marc R.; Fletcher, Alison; Motwani, Manish; Thomson, Louise E.; Germano, Guido; Dey, Damini; Berman, Daniel S.; Newby, David E.; Slomka, Piotr J.","Demons versus level-set motion registration for coronary<sup>18</sup> F-sodium fluoride PET","","","","10.1117/12.2217179","http://proceedings.spiedigitallibrary.org/proceeding.aspx?doi=10.1117/12.2217179","","2016-03-21","2026-03-04 13:22:47","2026-03-04 13:22:47","2026-03-04 13:22:47","97843Y","","","","","","","","","","","","San Diego, California, United States","","","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Mathieu\Perso\00_MCF\website\nihms-778180.pdf; C:\Users\marubeaux\Zotero\storage\9Y9ASR6T\Rubeaux et al. - 2016 - Demons versus level-set motion registration for coronary18 F-sodium fluoride PET.pdf","","","","Styner, Martin A.; Angelini, Elsa D.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SPIE Medical Imaging","","","","","","","","","","","","","","",""
"TXPGG27R","journalArticle","2020","Doris, Mhairi K.; Otaki, Yuka; Krishnan, Sandeep K.; Kwiecinski, Jacek; Rubeaux, Mathieu; Alessio, Adam; Pan, Tinsu; Cadet, Sebastien; Dey, Damini; Dweck, Marc R.; Newby, David E.; Berman, Daniel S.; Slomka, Piotr J.","Optimization of reconstruction and quantification of motion-corrected coronary PET-CT","Journal of Nuclear Cardiology","","10713581","10.1007/s12350-018-1317-5","https://linkinghub.elsevier.com/retrieve/pii/S1071358123017968","","2020-04","2026-03-04 13:26:23","2026-03-04 13:26:23","2026-03-04 13:26:23","494-504","","2","27","","Journal of Nuclear Cardiology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Zotero\storage\VKNYIK2I\Doris et al. - 2020 - Optimization of reconstruction and quantification of motion-corrected coronary PET-CT.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4IIBBDMB","conferencePaper","2019","Santini, Gianmarco; Moreau, Noémie; Rubeaux, Mathieu","Kidney tumor segmentation using an ensembling multi-stage deep learning approach. A contribution to the KiTS19 challenge","","","","10.48550/ARXIV.1909.00735","https://arxiv.org/abs/1909.00735","Precise characterization of the kidney and kidney tumor characteristics is of outmost importance in the context of kidney cancer treatment, especially for nephron sparing surgery which requires a precise localization of the tissues to be removed. The need for accurate and automatic delineation tools is at the origin of the KiTS19 challenge. It aims at accelerating the research and development in this field to aid prognosis and treatment planning by providing a characterized dataset of 300 CT scans to be segmented. To address the challenge, we proposed an automatic, multi-stage, 2.5D deep learning-based segmentation approach based on Residual UNet framework. An ensembling operation is added at the end to combine prediction results from previous stages reducing the variance between single models. Our neural network segmentation algorithm reaches a mean Dice score of 0.96 and 0.74 for kidney and kidney tumors, respectively on 90 unseen test cases. The results obtained are promising and could be improved by incorporating prior knowledge about the benign cysts that regularly lower the tumor segmentation results.","2019","2026-03-04 13:27:43","2026-03-04 16:55:02","2026-03-04 13:27:43","","","","","","","","","","","","arXiv","","","Creative Commons Attribution 4.0 International","","","","DOI.org (Datacite)","","Version Number: 1","","","","","FOS: Computer and information sciences; Computer Vision and Pattern Recognition (cs.CV); FOS: Electrical engineering, electronic engineering, information engineering; Image and Video Processing (eess.IV)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DM3AFV4R","conferencePaper","2020","Moreau, Noemie; Rousseau, Caroline; Fourcade, Constance; Santini, Gianmarco; Ferrer, Ludovic; Lacombe, Marie; Guillerminet, Camille; Campone, Mario; Colombie, Mathilde; Rubeaux, Mathieu; Normand, And Nicolas","Deep learning approaches for bone and bone lesion segmentation on 18FDG PET/CT imaging in the context of metastatic breast cancer","2020 42nd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC)","978-1-7281-1990-8","","10.1109/EMBC44109.2020.9175904","https://ieeexplore.ieee.org/document/9175904/","","2020-07","2026-03-04 14:31:08","2026-03-04 14:31:08","2026-03-04 14:31:08","1532-1535","","","","","","","","","","","IEEE","Montreal, QC, Canada","","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Zotero\storage\EQ99726C\Moreau et al. - 2020 - Deep learning approaches for bone and bone lesion segmentation on 18FDG PETCT imaging in the contex.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 42nd Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC) in conjunction with the 43rd Annual Conference of the Canadian Medical and Biological Engineering Society","","","","","","","","","","","","","","",""
"XM3IBZKD","conferencePaper","2021","Santini, Gianmarco; Nzoughet Obame, Yvon; Fourcade, Constance; Moreau, Noémie; Rubeaux, Mathieu","Automatic classification of benign and malignant kidney masses using radiomics. A retrospective study exploiting the KiTS19 dataset","Medical Imaging 2021: Image Processing","978-1-5106-4021-4 978-1-5106-4022-1","","10.1117/12.2579901","https://www.spiedigitallibrary.org/conference-proceedings-of-spie/11596/2579901/Automatic-classification-of-benign-and-malignant-kidney-masses-using-radiomics/10.1117/12.2579901.full","","2021-02-15","2026-03-04 14:33:26","2026-03-04 14:33:26","2026-03-04 14:33:26","88","","","","","","","","","","","SPIE","Online Only, United States","","","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Mathieu\Perso\Keosys\Encadrement\01_SubmittedPapers\2020_04_ACCEPTED_SPIE2021_GianmarcoSantini.pdf; C:\Users\marubeaux\Zotero\storage\GIQQ5ADC\2020_04_ACCEPTED_SPIE2021_GianmarcoSantini.pdf","","","","Landman, Bennett A.; Išgum, Ivana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Image Processing","","","","","","","","","","","","","","",""
"QUW5WQGS","conferencePaper","2022","Colombié, Mathilde; Jézéquel, Pascal; Rubeaux, Mathieu; Frenel, Jean-Sebastien; Bigot, Frédéric; Seegers, Valérie; Campone, Mario","Feasibility of creation of a clinico-biological database: A prospective longitudinal cohort study of metastatic breast cancer patients (epicuresein)","Cancer Research","","0008-5472, 1538-7445","10.1158/1538-7445.SABCS21-OT1-20-01","https://aacrjournals.org/cancerres/article/82/4_Supplement/OT1-20-01/680358/Abstract-OT1-20-01-Feasibility-of-creation-of-a","Abstract             Background: Each year 5 to 10% of new breast cancers are diagnosed with a metastatic staging. Metastatic breast cancer remains an incurable disease despite significant therapeutic advances in both supportive cares and targeted specific therapies. The disease is in most cases characterized by the disruption of systemic homeostasis (coinciding with multiple interactive and dependent parameters). Decision algorithms rely on a number of objective and subjective parameters which allow the therapeutic decision making process to become the most individualized or adapted. Extrinsic objectives parameters are currently based on EBM (evidence-based-medicine). Intrinsic subjective parameters are taken into account in decision-making: parameters that are linked to the oncologist's assumptions, such asthe sensitivity to the theoretical efficacy of treatments and the definition of sensitivity. Currently, the clinician rationalizes these therapeutic indications according to the prediction of the treatment response from the ""phenotypic classification"". Cancer is a complex disease relying on numerous elements in dynamic, organized and evolving interactions, and analysis of a complex system requires a global approach. The research hypothesis is to evolve from a reductionist, disjunctive, analytical view of the characterization of cell components (genes, transcripts, proteins, etc.) to a global, systemic, conjunctive and organizational vision: distinct datasets are linked and we need to unravel these underlying links. With this project, we want to demonstrate the ability to exploit complex data in healthcare and in particular in cancer management. We chose a specific metastatic breast cancer model. Methods: Our project is to integrate massive and heterogeneous data concerning the patient’s environment, personal and familial history, clinical and biological data, imaging, histological results, multi-omics data, and microbiota analysis. These characteristics are multiple and in dynamic interaction overtime. The main objective is to prove feasibility of creation of a clinico-biological database prospectively by collecting epidemiological, socio-economic, clinical, biological, pathological, multi-omics data and to identify characteristics related to the disease progression before treatment and within 15 years after treatment start from a cohort of 300 patients with a metastatic breast cancer treated in our institution. Results: The EPICURE trial opened in December 2018. Overall recruitment as of July 2021 was 116 patients; 72% had history of adjuvant therapy and 28% had immediately metastatic disease. We created three groups: HR+/Her2- (75% of enrolment); HER2+ (12%); and triple-negative breast cancer (13%). For 89% of patients, we obtained metastatic biopsy during screening and at date 20 metastatic biopsies for recurrence. For all patients, we collected blood sample following the flow chart and microbiota at the screening. Conclusion: EPICURE is an original and longitudinal prospective biocollection of metastatic breast cancer patients. We expect answering specific scientific questions regarding metastatic disease with heterogeneous data, especially by collecting data without a priori value or links each other. Clinical trial information: NCT03958136. Funding: EPICURE is funded by the FEDER European fundings, Astra Zeneca and Lilly             Citation Format: Mathilde Colombié, Pascal Jézéquel, Mathieu Rubeaux, Jean-Sebastien Frenel, Frédéric Bigot, Valérie Seegers, Mario Campone. Feasibility of creation of a clinico-biological database: A prospective longitudinal cohort study of metastatic breast cancer patients (epicuresein) [abstract]. In: Proceedings of the 2021 San Antonio Breast Cancer Symposium; 2021 Dec 7-10; San Antonio, TX. Philadelphia (PA): AACR; Cancer Res 2022;82(4 Suppl):Abstract nr OT1-20-01.","2022-02-15","2026-03-04 16:14:37","2026-03-05 07:34:18","2026-03-04 16:14:37","OT1-20-01-OT1-20-01","","4_Supplement","82","","","Abstract OT1-20-01","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93Q2JNGT","conferencePaper","2022","Moreau, Noemie; Rousseau, Caroline; Fourcade, Constance; Santini, Gianmarco; Ferrer, Ludovic; Lacombe, Marie; Guillerminet, Camille; Colombie, Mathilde; Jezequel, Pascal; Campone, Mario; Rubeaux, Mathieu; Normand, Nicolas","Influence of inputs for bone lesion segmentation in longitudinal<sup>18</sup> F-FDG PET/CT imaging studies","2022 44th Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC)","978-1-7281-2782-8","","10.1109/EMBC48229.2022.9871081","https://ieeexplore.ieee.org/document/9871081/","","2022-07-11","2026-03-04 16:18:23","2026-03-04 16:18:23","2026-03-04 16:18:23","4736-4739","","","","","","","","","","","IEEE","Glasgow, Scotland, United Kingdom","","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Mathieu\Perso\00_MCF\website\Influence_of_inputs_for_bone_lesion_segmentation_in_longitudinal_18F-FDG_PET_CT_imaging_studies.pdf; C:\Users\marubeaux\Zotero\storage\R8I8AWFH\Influence_of_inputs_for_bone_lesion_segmentation_in_longitudinal_18F-FDG_PET_CT_imaging_studies.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022 44th Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC)","","","","","","","","","","","","","","",""
"8B54B9QR","conferencePaper","2022","Fourcade, Constance; Frenel, Jean-Sebastien; Moreau, Noémie; Santini, Gianmarco; Brennan, Aislinn; Rousseau, Caroline; Lacombe, Marie; Fleury, Vincent; Colombié, Mathilde; Jézéquel, Pascal; Maucherat, Bruno; Campone, Mario; Mateus, Diana; Ferrer, Ludovic; Rubeaux, Mathieu","PERCIST-like response assessment with FDG PET based on automatic segmentation of all lesions in metastatic breast cancer.","Journal of Clinical Oncology","","0732-183X, 1527-7755","10.1200/JCO.2022.40.16_suppl.e13057","https://ascopubs.org/doi/10.1200/JCO.2022.40.16_suppl.e13057","e13057                            Background: In metastatic breast cancer (MBC), treatment response is often assessed with FDG PET per PERCIST which evaluates changes in SUL               peak               of the single hottest tumor lesion identified on the baseline and follow-up images. PERCIST therefore does not consider tumor heterogeneity. This work aims to compare responses determined with the automatic segmentation of all lesions to response determined manually per PERCIST. Methods: 10 MBC patients (61±14 y/o) undergoing either chemo- or hormonotherapy were randomly selected from the prospective EPICURE study (NCT03958136). A baseline and two follow-up FDG PET were acquired at pre-, early- (1 month) and mid-treatment times for each patient. All metastatic lesions on all images were manually segmented by experts. Using the Advanced Normalization Tools (ANTs) image registration method, we wrapped baseline lesion segmentations to automatically obtain the follow-up ones. These registered segmentations were compared to the ones done manually using standard biomarkers: SUL               peak               , lesion size and Total Lesion Glycolysis (TLG). Differences between baseline and follow-up images were visually represented by coloring the follow-up segmentations: in green for responsive lesions (decreasing SUL               peak               ) and in red for progressive ones (increasing SUL               peak               ). Two expert physicians were then asked to evaluate treatment response while seeing these colored segmentations. They assessed the FDG PET images in pairs, evaluating for each patient the baseline and one of the corresponding follow-ups in a blinded manner: either the early- or the mid-treatment follow-up. Evaluations were then compared: i) early- vs mid-treatment response and ii) follow-up response vs patient’s clinical outcome. Results: Biomarkers extracted from the registered segmentations were similar to the ones extracted from the manual segmentations, with a Lin correlation coefficient of 0.92, 0.87 and 0.95 for the SUL               peak               , lesion size and TLG respectively. These findings were obtained within ̃10min, whereas the manual segmentation of the three PET images for any given patient took ̃1h. With the use of colored segmentations, early follow-up evaluations were predictive of mid-treatment response in 65% of the cases. The blinded physicians agreed with the clinical outcomes 85% and 95% of the time for the early- and mid-treatment images respectively. Conclusions: With segmentations automatically derived from ANTs registration, we managed to extract biomarkers that are comparable to the ones obtained with manual segmentations; both segmentations carried similar information. ANTs fast registration and biomarkers computation can make it a useful tool in clinical routine. In addition, lesion coloring helped evaluate treatment response and early-treatment follow-up images were shown to be predictive of mid-treatment response. Clinical trial information: NCT03958136.","2022-06-01","2026-03-04 16:22:29","2026-03-05 07:08:18","2026-03-04 16:22:29","e13057-e13057","","16_suppl","40","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Mathieu\Perso\Keosys\Encadrement\01_SubmittedPapers\2022_02_ACCEPTED_ASCO2022_ConstanceFourcade.pdf; C:\Users\marubeaux\Zotero\storage\SRMWAZ5X\2022_02_ACCEPTED_ASCO2022_ConstanceFourcade.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4XCQRGHN","conferencePaper","2025","Villa, Eliana Salas; Acosta, Oscar; Palard-Novello, Xavier; De Crevoisier, Renaud; Castelli, Joël; Cuberos, Isabella Ariza; Rubeaux, Mathieu","Predicting recurrence in head and neck cancer using new threshold vs feature behavior curves from 18FFDG PET/CT images","Radiotherapy and Oncology","","01678140","10.1016/S0167-8140(25)01853-5","https://linkinghub.elsevier.com/retrieve/pii/S0167814025018535","","2025-05","2026-03-04 16:25:23","2026-03-05 07:35:46","2026-03-04 16:25:23","S3834-S3836","","","206","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Mathieu\Perso\00_MCF\website\1-s2.0-S0167814025018535.pdf; C:\Users\marubeaux\Zotero\storage\8ZKUF3DQ\1-s2.0-S0167814025018535.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZZDBE9LD","conferencePaper","2020","Santini, G.; Fourcade, C.; Rousseau, C.; Ferrer, L.; Campone, M.; Colombié, M.; Rubeaux, M.","Segmentation automatique des métastases hépatiques en imagerie TEP/TDM basée sur l’apprentissage profond dans le cadre du cancer du sein métastatique","Médecine Nucléaire","","09281258","10.1016/j.mednuc.2020.01.085","https://linkinghub.elsevier.com/retrieve/pii/S0928125820301017","","2020-03","2026-03-04 16:31:26","2026-03-04 16:31:56","2026-03-04 16:31:26","135","","2","44","","","","","","","","","","fr","","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Mathieu\Perso\00_MCF\website\1-s2.0-S0928125820301017-main.pdf; C:\Users\marubeaux\Zotero\storage\E2GCWDSW\1-s2.0-S0928125820301017-main.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N3QKQ6CV","conferencePaper","2021","Santini, G.; Moreau, N.; Fourcade, C.; Rousseau, C.; Ferrer, L.; Campone, M.; Colombié, M.; Jézéquel, P.; Rubeaux, M.","Quantification automatique de l’activité de fond pour le calcul du critère PERCIST (+ Running poster)","Médecine Nucléaire","","09281258","10.1016/j.mednuc.2021.06.080","https://linkinghub.elsevier.com/retrieve/pii/S0928125821001303","","2021-07","2026-03-04 16:33:48","2026-03-05 07:10:11","2026-03-04 16:33:48","213-214","","4","45","","","","","","","","","","fr","","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Mathieu\Perso\00_MCF\website\1-s2.0-S0928125821001303-main.pdf; C:\Users\marubeaux\Zotero\storage\VD5TE3VH\1-s2.0-S0928125821001303-main.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6U5PT9RJ","journalArticle","2016","Rubeaux, Mathieu; Xu, Yuan; Germano, Guido; Berman, Daniel S.; Slomka, Piotr J.","Normal Databases for the Relative Quantification of Myocardial Perfusion","Current Cardiovascular Imaging Reports","","1941-9066, 1941-9074","10.1007/s12410-016-9385-x","http://link.springer.com/10.1007/s12410-016-9385-x","","2016-08","2026-03-04 16:44:40","2026-03-04 16:44:40","2026-03-04 16:44:40","22","","8","9","","Curr Cardiovasc Imaging Rep","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Zotero\storage\3K6L6KCY\Rubeaux et al. - 2016 - Normal Databases for the Relative Quantification of Myocardial Perfusion.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R2DII2HL","journalArticle","2017","Slomka, Piotr J.; Rubeaux, Mathieu; Germano, Guido","Quantification with normal limits: New cameras and low-dose imaging","Journal of Nuclear Cardiology","","10713581","10.1007/s12350-016-0563-7","https://linkinghub.elsevier.com/retrieve/pii/S1071358123066795","","2017-10","2026-03-05 07:18:28","2026-03-05 07:18:28","2026-03-05 07:18:28","1637-1640","","5","24","","Journal of Nuclear Cardiology","Quantification with normal limits","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Zotero\storage\9BLRQNVE\Slomka et al. - 2017 - Quantification with normal limits New cameras and low-dose imaging.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RU4WWF7U","conferencePaper","2018","Doris, Mhairi K.; Rubeaux, Mathieu; Cadet, Sebastien; Otaki, Yuka; Dey, Damini; Dweck, Marc R.; Newby, David E.; Berman, Daniel S.; Slomka, Piotr J.","Optimization of Reconstruction and Quantification for Motion-Corrected Coronary 18F-NaF PET","","","","","","","2018","2026-03-05 07:27:26","2026-03-05 07:32:02","","","","1","136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Circulation","","","","","","","","","","","","","","",""
"NN929YTP","conferencePaper","2026","Torres, Luis Fernando; Osorio-Botero, Santiago; Palard, Xavier; De Crevoisier, Renaud; Cubero, Lucía; Acosta, Oscar; Castelli, Joel; Rubeaux, Mathieu","Inclusion of ipsilateral salivary gland PET/CT features improves xerostomia prediction after radiotherapy in head and neck cancer","","","","","","","2026-05","2026-03-05 07:42:49","2026-03-05 07:48:17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ESTRO","","","","","","","","","","","","","","",""
